iter	Logloss
316	0.2413923996
317	0.2413703012
318	0.2413491064
319	0.2413269618
320	0.2413160622
321	0.2413046084
322	0.2412787409
323	0.2412550524
324	0.2412321884
325	0.2412244472
326	0.2412120209
327	0.2411988249
328	0.2411764234
329	0.2411580896
330	0.241150846
331	0.2411343302
332	0.2411278749
333	0.2411032485
334	0.2410935429
335	0.241072954
336	0.2410449359
337	0.241030114
338	0.2410245965
339	0.2410183047
340	0.2409976874
341	0.2409880694
342	0.24097598
343	0.2409582468
344	0.2409450775
345	0.2409262981
346	0.2409001576
347	0.2408946275
348	0.2408752207
349	0.2408615613
350	0.2408526686
351	0.2408432897
352	0.2408285943
353	0.2408219819
354	0.2408134255
355	0.2408019527
356	0.2407849283
357	0.2407688045
358	0.2407539793
359	0.2407237122
360	0.2407097741
361	0.240692516
362	0.2406710372
363	0.2406636807
364	0.2406463741
365	0.2406374946
366	0.2406246677
367	0.2406151558
368	0.240600579
369	0.2405738816
370	0.2405682793
371	0.2405512975
372	0.2405382409
373	0.2405215989
374	0.2404998314
375	0.2404794176
376	0.2404648605
377	0.2404426031
378	0.2404287691
379	0.2404037658
380	0.2403864552
381	0.240374533
382	0.240354184
383	0.2403375841
384	0.2403285546
385	0.2403159637
386	0.24029759
387	0.2402868979
388	0.2402531673
389	0.2402297722
390	0.2402089807
391	0.240198123
392	0.2401899533
393	0.2401694098
394	0.2401479665
395	0.2401240791
396	0.2401150751
397	0.2400978914
398	0.2400797922
399	0.2400702325
400	0.2400382593
401	0.2400261391
402	0.2400127327
403	0.239990142
404	0.2399791129
405	0.23996141
406	0.2399447532
407	0.2399217413
408	0.2398997107
409	0.2398823592
410	0.2398518339
411	0.2398443813
412	0.239827238
413	0.2398034645
414	0.2397995945
415	0.2397861857
416	0.239775614
417	0.2397498322
418	0.2397270759
419	0.2397100127
420	0.2396962464
421	0.2396830027
422	0.239677181
423	0.2396520471
424	0.239626963
425	0.2396139803
426	0.2395988112
427	0.2395525503
428	0.2395243222
429	0.2395099174
430	0.2394890858
431	0.2394608253
432	0.2394424563
433	0.2394199127
434	0.2393997269
435	0.239385971
436	0.2393655619
437	0.2393530987
438	0.2393424767
439	0.2393006787
440	0.2392866056
441	0.2392742691
442	0.2392675183
443	0.2392529186
444	0.2392405157
445	0.239235135
446	0.2392226523
447	0.2392077292
448	0.239196235
449	0.2391839779
450	0.2391800664
451	0.2391577625
452	0.2391496975
453	0.2391388849
454	0.2391267229
455	0.239114024
456	0.2391004285
457	0.2390703023
458	0.2390542767
459	0.2390448378
460	0.2390201536
461	0.2389976911
462	0.2389686769
463	0.2389556855
464	0.2389394767
465	0.2389129137
466	0.2389049426
467	0.2388866694
468	0.2388801259
469	0.2388660531
470	0.238847462
471	0.2388393853
472	0.2388212771
473	0.2388075085
474	0.2387975876
475	0.2387890353
476	0.2387733032
477	0.2387540336
478	0.2387425674
479	0.238717487
480	0.2386919139
481	0.2386712748
482	0.2386557901
483	0.238648599
484	0.2386255578
485	0.2386050132
486	0.2385837721
487	0.2385741569
488	0.2385632271
489	0.2385411127
490	0.2385300991
491	0.2385127211
492	0.2385049311
493	0.2384936368
494	0.2384861053
495	0.2384707635
496	0.2384550003
497	0.2384376278
498	0.2384273583
499	0.2384050423
500	0.2383856431
501	0.2383587257
502	0.238344894
503	0.2383214595
504	0.2383048368
505	0.2382936256
506	0.2382729586
507	0.2382414503
508	0.2382174024
509	0.2382115907
510	0.2381966973
511	0.2381731289
512	0.2381480635
513	0.2381420167
514	0.2381215137
515	0.2381126009
516	0.238100771
517	0.2380823671
518	0.2380578904
519	0.2380436196
520	0.2380297678
521	0.2380164536
522	0.2380054018
523	0.2379949766
524	0.2379786554
525	0.237969044
526	0.2379564143
527	0.2379505016
528	0.2379449817
529	0.2379297791
530	0.2379233898
531	0.2379051799
532	0.2378939781
533	0.2378824729
534	0.2378745208
535	0.2378560348
536	0.2378364946
537	0.2378191442
538	0.2378125237
539	0.2377888814
540	0.2377754835
541	0.2377555542
542	0.2377308504
543	0.2377176117
544	0.2377123286
545	0.2377010588
546	0.2376899834
547	0.2376793677
548	0.2376743307
549	0.237656809
550	0.2376417381
551	0.2376319613
552	0.2376179196
553	0.2375955374
554	0.2375846399
555	0.2375610729
556	0.2375502773
557	0.2375250172
558	0.2375051132
559	0.2374870074
560	0.2374802998
561	0.2374585798
562	0.2374396577
563	0.2374211146
564	0.2374029402
565	0.2373927288
566	0.2373775855
567	0.237371994
568	0.2373518309
569	0.2373391995
570	0.2373273777
571	0.2373057308
572	0.2372834564
573	0.2372684999
574	0.237249172
575	0.237240501
576	0.2372233878
577	0.2372113017
578	0.2371974659
579	0.2371884744
580	0.2371794794
581	0.237163469
582	0.2371506031
583	0.2371439447
584	0.237135055
585	0.2371126899
586	0.2371000491
587	0.2370830783
588	0.2370592579
589	0.2370406601
590	0.2370211066
591	0.2370011316
592	0.2369847798
593	0.2369743192
594	0.2369559031
595	0.2369347616
596	0.2369197292
597	0.2369077861
598	0.2368875472
599	0.2368769774
600	0.23684468
601	0.236826746
602	0.2368140813
603	0.2367834946
604	0.2367715184
605	0.2367572659
606	0.2367374173
607	0.2367281988
608	0.236712828
609	0.236697923
610	0.2366789086
611	0.236662522
612	0.2366467084
613	0.2366321012
614	0.2366186752
615	0.2365998461
616	0.2365827475
617	0.2365751042
618	0.2365694168
619	0.2365489549
620	0.2365412797
621	0.2365300388
622	0.2365073647
623	0.2364961488
624	0.2364731467
625	0.2364490171
626	0.236439038
627	0.2364260473
628	0.2364138389
629	0.2363998298
630	0.23638644
631	0.2363698074
632	0.236360883
633	0.2363490139
634	0.2363354196
635	0.2363235423
636	0.2363079961
637	0.2362981297
638	0.2362850369
639	0.2362785684
640	0.236266241
641	0.2362541886
642	0.2362287927
643	0.236219618
644	0.2362083538
645	0.2361980153
646	0.2361832727
647	0.2361639836
648	0.2361565279
649	0.2361496915
650	0.2361340769
651	0.2361191433
652	0.2361028899
653	0.2360794644
654	0.2360494164
655	0.2360335749
656	0.2360256638
657	0.2360150182
658	0.2359920819
659	0.2359755864
660	0.2359650234
661	0.2359543952
662	0.235941071
663	0.2359258631
664	0.2358999103
665	0.2358859082
666	0.2358730041
667	0.2358602681
668	0.2358410337
669	0.2358209801
670	0.235813618
671	0.2357976677
672	0.2357801464
673	0.2357584751
674	0.2357308295
675	0.235715211
676	0.2357106836
677	0.235692619
678	0.2356751143
679	0.2356665603
680	0.2356535249
681	0.2356249191
682	0.2356128936
683	0.2355987787
684	0.2355907207
685	0.2355770772
686	0.2355568001
687	0.2355329463
688	0.2355289927
689	0.2355194641
690	0.2355043348
691	0.2354930827
692	0.2354849368
693	0.2354687913
694	0.2354630963
695	0.2354483023
696	0.235439226
697	0.2354263918
698	0.2354099127
699	0.2353909555
700	0.2353718888
701	0.235362778
702	0.2353469904
703	0.2353313917
704	0.2353168025
705	0.2353062151
706	0.2352964545
707	0.2352800051
708	0.2352607026
709	0.235251386
710	0.2352324967
711	0.2352190512
712	0.2352105304
713	0.2351883461
714	0.2351726433
715	0.2351625314
716	0.2351558155
717	0.2351447376
718	0.2351293459
719	0.2351145385
720	0.2351026769
721	0.2350868011
722	0.2350739039
723	0.2350551302
724	0.2350431069
725	0.2350318641
726	0.2350268519
727	0.2350022669
728	0.2349821353
729	0.2349714648
730	0.2349629403
731	0.2349485627
732	0.2349301465
733	0.2349143834
734	0.2348964292
735	0.234874567
736	0.2348638054
737	0.2348435717
738	0.2348332922
739	0.2348242175
740	0.2348108672
741	0.2347989382
742	0.2347928017
743	0.2347656689
744	0.2347523044
745	0.234744172
746	0.2347278736
747	0.2347060211
748	0.2346955871
749	0.234683758
750	0.2346689971
751	0.234660722
752	0.2346482767
753	0.2346297919
754	0.2346221319
755	0.2346121867
756	0.2346062358
757	0.2345967732
758	0.2345841098
759	0.2345675649
760	0.2345461449
761	0.234530748
762	0.2345237584
763	0.2345135875
764	0.2344984253
765	0.2344813964
766	0.2344665257
767	0.234451821
768	0.2344294862
769	0.2344170995
770	0.2344145224
771	0.2344020889
772	0.2343949864
773	0.2343791296
774	0.2343670446
775	0.2343580282
776	0.2343485226
777	0.2343300778
778	0.234316963
779	0.2343107324
780	0.2342965809
781	0.234280791
782	0.2342769024
783	0.2342624747
784	0.2342458274
785	0.2342440464
786	0.2342318294
787	0.234208939
788	0.2342034906
789	0.2342003307
790	0.2341780124
791	0.2341588542
792	0.2341540843
793	0.2341442867
794	0.2341349542
795	0.2341236558
796	0.2341057967
797	0.2340919836
798	0.234079716
799	0.2340702271
800	0.2340534632
801	0.2340349665
802	0.2340214636
803	0.2340036831
804	0.2339883674
805	0.233979274
806	0.2339683077
807	0.2339555433
808	0.2339442738
809	0.2339319328
810	0.2339079323
811	0.2339002083
812	0.2338939504
813	0.233881365
814	0.2338767764
815	0.2338584231
816	0.233834774
817	0.233825227
818	0.2338068699
819	0.233787879
820	0.2337741247
821	0.2337673508
822	0.2337465541
823	0.2337216425
824	0.2337092139
825	0.2337054383
826	0.2336756518
827	0.2336638794
828	0.2336529216
829	0.2336345622
830	0.2336134987
831	0.233602426
832	0.233581841
833	0.2335706437
834	0.2335506629
835	0.2335349112
836	0.2335268253
837	0.2335118602
838	0.2334880291
839	0.2334767765
840	0.2334652882
841	0.2334583576
842	0.2334539263
843	0.2334374267
844	0.2334153665
845	0.2334026958
846	0.2333860307
847	0.2333729962
848	0.2333570441
849	0.2333469959
850	0.2333365941
851	0.2333213945
852	0.2333131333
853	0.233292204
854	0.2332821205
855	0.233272496
856	0.2332600455
857	0.2332380854
858	0.2332206836
859	0.2332109236
860	0.2331949153
861	0.2331807571
862	0.2331711775
863	0.233164352
864	0.2331509101
865	0.2331470333
866	0.2331329371
867	0.2331197996
868	0.2331048533
869	0.2330779489
870	0.2330547372
871	0.2330445995
872	0.2330303593
873	0.2330133528
874	0.2329952603
875	0.2329814519
876	0.2329648521
877	0.2329476315
878	0.2329412282
879	0.23292615
880	0.2329099467
881	0.232902451
882	0.2328881497
883	0.2328724539
884	0.2328618205
885	0.2328496548
886	0.2328370031
887	0.2328177159
888	0.2328079147
889	0.2327882121
890	0.2327839512
891	0.2327658803
892	0.2327486156
893	0.2327335727
894	0.2327098136
895	0.2327001577
896	0.2326769077
897	0.2326617204
898	0.2326399541
899	0.2326296874
900	0.2326142454
901	0.2325968814
902	0.2325847151
903	0.2325696641
904	0.2325547521
905	0.2325450082
906	0.2325290327
907	0.2325124436
908	0.2324994065
909	0.2324748884
910	0.2324611111
911	0.2324543676
912	0.2324403387
913	0.2324241044
914	0.2324052231
915	0.2323864306
916	0.2323692191
917	0.2323536862
918	0.2323424841
919	0.2323293958
920	0.2323166561
921	0.2323095421
922	0.2322983474
923	0.2322884807
924	0.2322726295
925	0.2322648501
926	0.2322501886
927	0.232242826
928	0.2322365612
929	0.2322300976
930	0.2322129559
931	0.2321943233
932	0.2321889617
933	0.2321722035
934	0.2321583247
935	0.2321466704
936	0.2321395099
937	0.2321220669
938	0.2321137079
939	0.2321067619
940	0.2320986692
941	0.2320812099
942	0.2320664444
943	0.2320572997
944	0.2320389625
945	0.232029827
946	0.2320157247
947	0.2320064402
948	0.2320027717
949	0.2319980511
950	0.2319815263
951	0.231966005
952	0.2319455401
953	0.2319390807
954	0.2319218519
955	0.2318983233
956	0.231890817
957	0.2318720877
958	0.2318561983
959	0.2318400692
960	0.2318228809
961	0.2318100257
962	0.231792127
963	0.2317779075
964	0.2317705825
965	0.231746457
966	0.2317388443
967	0.2317282711
968	0.2317047067
969	0.2316947043
970	0.2316778706
971	0.2316632716
972	0.2316505212
973	0.2316429171
974	0.2316341179
975	0.231617655
976	0.2316039302
977	0.2315942206
978	0.231572616
979	0.2315499337
980	0.2315348538
981	0.2315118426
982	0.2314913206
983	0.2314833297
984	0.2314674405
985	0.2314651177
986	0.231440829
987	0.2314316051
988	0.2314127447
989	0.2313971932
990	0.2313830114
991	0.2313627893
992	0.2313543153
993	0.231342509
994	0.2313291583
995	0.2313093941
996	0.2312929455
997	0.2312846176
998	0.2312784781
999	0.2312599012
