iter	Passed	Remaining
303	374356	857079
304	375246	855070
305	376189	853188
306	377158	851371
307	378221	849769
308	379263	848125
309	380677	847314
310	381725	845688
311	382681	843860
312	383673	842119
313	384804	840688
314	385645	838626
315	386748	837138
316	388036	836053
317	390802	838135
318	392916	838796
319	394001	837253
320	394860	835234
321	395733	833252
322	396893	831879
323	397913	830214
324	399197	829103
325	400154	827313
326	401238	825791
327	402344	824315
328	403301	822538
329	404231	820712
330	405059	818685
331	406018	816929
332	406750	814722
333	407643	812846
334	408554	811011
335	409918	810077
336	411116	808814
337	412177	807281
338	413286	805848
339	414391	804407
340	415392	802767
341	416390	801125
342	417176	799081
343	418131	797367
344	419197	795868
345	420103	794069
346	421105	792455
347	421889	790436
348	422787	788638
349	423660	786798
350	424511	784922
351	425381	783089
352	426421	781571
353	427401	779947
354	428295	778171
355	429228	776469
356	430144	774741
357	431116	773120
358	432071	771471
359	433131	770010
360	434133	768452
361	435007	766670
362	436010	765120
363	436848	763283
364	437699	761477
365	438562	759695
366	439443	757950
367	440264	756106
368	441295	754626
369	442317	753135
370	443217	751438
371	444151	749804
372	445021	748066
373	445966	746457
374	446826	744710
375	447684	742964
376	448528	741202
377	449394	739479
378	450220	737696
379	451098	736003
380	451990	734337
381	452948	732780
382	453942	731285
383	454872	729690
384	455828	728141
385	456896	726772
386	457864	725247
387	459048	724066
388	460168	722784
389	461051	721131
390	461917	719457
391	462962	718064
392	464076	716780
393	465268	715615
394	466287	714186
395	467242	712662
396	468200	711145
397	469959	710843
398	472200	711259
399	473374	710061
400	475147	709758
401	477057	709652
402	478948	709509
403	480207	708424
404	481226	706986
405	482516	705948
406	483907	705055
407	485430	704350
408	486794	703411
409	488212	702550
410	496278	711211
411	497477	709991
412	498481	708495
413	499451	706952
414	500706	705815
415	503984	707516
416	507230	709149
417	508924	708598
418	510046	707248
419	511302	706084
420	512631	705021
421	514008	704020
422	515142	702688
423	516699	701931
424	518096	700954
425	519576	700085
426	520799	698871
427	522280	698001
428	523457	696723
429	524694	695524
430	526164	694634
431	527710	693841
432	528846	692508
433	529843	690993
434	530955	689632
435	531701	687797
436	533167	686895
437	534342	685617
438	535864	684784
439	537482	684068
440	538864	683049
441	540086	681828
442	541295	680590
443	542561	679423
444	543960	678422
445	545087	677082
446	546239	675773
447	547169	674191
448	548527	673136
449	549911	672114
450	551200	670973
451	552824	670239
452	553752	668658
453	554622	667012
454	555502	665381
455	556346	663711
456	557376	662265
457	561054	663954
458	562170	662601
459	563048	660970
460	564061	659499
461	565167	658139
462	566877	657479
463	568471	656682
464	570709	656622
465	571935	655393
466	573134	654133
467	574623	653204
468	576183	652353
469	577682	651428
470	578924	650214
471	580356	649211
472	581804	648226
473	583457	647465
474	584781	646337
475	586081	645182
476	587680	644353
477	593072	647665
478	594595	646731
479	596449	646153
480	598191	645450
481	599689	644479
482	601296	643623
483	603007	642875
484	604783	642193
485	606445	641384
486	608048	640511
487	610272	640285
488	612975	640553
489	616811	641987
490	619368	642074
491	621738	641957
492	623221	640919
493	624530	639700
494	625914	638559
495	627438	637558
496	629152	636748
497	631312	636383
498	633428	635966
499	635317	635317
500	636648	634106
501	638078	632993
502	640005	632370
503	641973	631783
504	644134	631379
505	646071	630749
506	648156	630258
507	650205	629726
508	652862	629774
509	655253	629556
510	658071	629740
511	660810	629834
512	663781	630139
513	666321	630024
514	667970	629059
515	669520	628000
516	670913	626791
517	672540	625800
518	674259	624891
519	675788	623804
520	677520	622902
521	679301	622042
522	680781	620904
523	682322	619819
524	683663	618552
525	685084	617357
526	686409	616075
527	687690	614753
528	688916	613383
529	690200	612065
530	691440	610707
531	692710	609377
532	697424	611063
533	698847	609855
534	700325	608694
535	701652	607400
536	703340	606418
537	706196	606436
538	707716	605301
539	708817	603807
540	710135	602499
541	711961	601620
542	713784	600735
543	715263	599558
544	716483	598164
545	717838	596884
546	719088	595516
547	720410	594207
548	721683	592858
549	723079	591610
550	724490	590374
551	725855	589099
552	727131	587753
553	728382	586387
554	729615	585006
555	730963	583719
556	732293	582416
557	733753	581216
558	735218	580020
559	736598	578756
560	737999	577507
561	739318	576194
562	740716	574943
563	742223	573775
564	743647	572542
565	744974	571235
566	746506	570083
567	747864	568798
568	749166	567470
569	751234	566721
570	753483	566102
571	755164	565053
572	758381	565146
573	760156	564158
574	761513	562858
575	763913	562324
576	765810	561417
577	767926	560665
578	769603	559590
579	771205	558459
580	774265	558377
581	776532	557715
582	777972	556456
583	779247	555080
584	781336	554281
585	783189	553311
586	784527	551976
587	785832	550617
588	787616	549593
589	789531	548657
590	791468	547733
591	793048	546560
592	795785	546180
593	805901	550835
594	810591	551747
595	811818	550292
596	813052	548844
597	814254	547375
598	815747	546101
599	817176	544784
600	818725	543546
601	820038	542151
602	821453	540824
603	822859	539490
604	824435	538267
605	825824	536922
606	827347	535663
607	828706	534297
608	830317	533093
609	833526	532910
610	835561	531969
611	836895	530580
612	838205	529177
613	839554	527798
614	840783	526344
615	842195	525005
616	844021	523922
617	845397	522559
618	846819	521224
619	848260	519901
620	849511	518461
621	850937	517129
622	853667	516585
623	855510	515499
624	857822	514693
625	859894	513739
626	863035	513416
627	866655	513369
628	868080	512015
629	869401	510600
630	870994	509345
631	872688	508147
632	874655	507106
633	876088	505754
634	877326	504290
635	878549	502817
636	879744	501329
637	881030	499895
638	882363	498487
639	883799	497137
640	885110	495717
641	886669	494435
642	887921	492982
643	889122	491502
644	890918	490350
645	892291	488964
646	897497	489670
647	898989	488340
648	900214	486864
649	901394	485366
650	902881	484033
651	904271	482648
652	905649	481256
653	907396	480059
654	908795	478678
655	910100	477247
656	911313	475769
657	912531	474294
658	913796	472844
659	915050	471389
660	916274	469919
661	917553	468478
662	918757	467000
663	920007	465545
664	921325	464126
665	922675	462723
666	924075	461344
667	925423	459940
668	926765	458534
669	928016	457082
670	929277	455636
671	930454	454150
672	931687	452691
673	932962	451254
674	934294	449845
675	935605	448426
676	936881	446990
677	938174	445563
678	939355	444084
679	940531	442603
680	941781	441157
681	943150	439768
682	944484	438362
683	945883	436987
684	947088	435522
685	948299	434061
686	949567	432626
687	950819	431185
688	951930	429681
689	953256	428274
690	954528	426844
691	955768	425400
692	957017	423960
693	958145	422467
694	959297	420986
695	960628	419584
696	961852	418136
697	963067	416685
698	964331	415255
699	965405	413745
700	966392	412198
701	967349	410641
702	968285	409076
703	969463	407615
704	970820	406229
705	972093	404809
706	973452	403425
707	974746	402013
708	976096	400626
709	977391	399216
710	978610	397775
711	979838	396339
712	980913	394841
713	981994	393347
714	983197	391904
715	984480	390492
716	985703	389057
717	986913	387617
718	987888	386087
719	988844	384550
720	990025	383102
721	991208	381656
722	992371	380203
723	993661	378799
724	994917	377382
725	996219	375983
726	997491	374573
727	1001567	374211
728	1002690	372742
729	1003717	371237
730	1004932	369804
731	1006247	368407
732	1007509	366991
733	1008689	365546
734	1009881	364106
735	1011062	362663
736	1012351	361259
737	1013674	359868
738	1015022	358485
739	1016295	357076
740	1017564	355666
741	1018764	354233
742	1019929	352788
743	1021257	351400
744	1022458	349969
745	1023669	348541
746	1024982	347149
747	1026236	345737
748	1027545	344344
749	1028590	342863
750	1029943	341485
751	1031084	340038
752	1032200	338583
753	1033558	337208
754	1034771	335786
755	1035779	334299
756	1037006	332883
757	1038276	331481
758	1039603	330097
759	1040977	328729
760	1042230	327323
761	1043425	325899
762	1044607	324471
763	1045805	323049
764	1047132	321668
765	1048488	320295
766	1049796	318908
767	1051091	317517
768	1052373	316122
769	1053669	314732
770	1054809	313296
771	1055876	311839
772	1056795	310339
773	1057777	308860
774	1058749	307378
775	1059945	305963
776	1061220	304571
777	1062647	303223
778	1063736	301778
779	1064871	300348
780	1066178	298966
781	1067464	297579
782	1068615	296155
783	1069884	294764
784	1071268	293404
785	1072455	291991
786	1073550	290554
787	1074763	289149
788	1075839	287708
789	1076820	286243
790	1077912	284808
791	1078811	283324
792	1079818	281869
793	1081136	280496
794	1082219	279062
795	1083514	277684
796	1084716	276282
797	1086017	274906
798	1087210	273503
799	1088367	272091
800	1089659	270714
801	1091051	269361
802	1092576	268041
803	1093895	266670
804	1095014	265251
805	1096396	263896
806	1097582	262495
807	1098776	261095
808	1099933	259687
809	1101261	258320
810	1102643	256966
811	1103874	255576
812	1116302	256763
813	1117661	255386
814	1119304	254075
815	1120691	252704
816	1122372	251400
817	1123923	250066
818	1125404	248715
819	1126899	247368
820	1129130	246180
821	1131663	245056
822	1134776	244052
823	1136554	242759
824	1138059	241406
825	1139612	240063
826	1141477	238785
827	1142934	237421
828	1144271	236031
829	1145550	234630
830	1147328	233331
831	1149251	232060
832	1150893	230731
833	1152751	229444
834	1156629	228555
835	1159606	227482
836	1161173	226130
837	1162778	224785
838	1165369	223628
839	1180286	224816
840	1187172	224447
841	1189848	223273
842	1191459	221896
843	1193150	220534
844	1195271	219250
845	1197452	217975
846	1204373	217554
847	1206482	216256
848	1208183	214883
849	1209622	213462
850	1211045	212039
851	1212714	210659
852	1214552	209307
853	1216442	207963
854	1217858	206537
855	1219470	205144
856	1220777	203700
857	1222780	202371
858	1224261	200955
859	1225743	199539
860	1226976	198083
861	1228410	196659
862	1230087	195274
863	1231425	193835
864	1232880	192414
865	1234323	190992
866	1235698	189559
867	1237339	188166
868	1238744	186738
869	1240189	185315
870	1241489	183871
871	1242724	182418
872	1243971	180967
873	1245370	179538
874	1247052	178150
875	1248774	176767
876	1250878	175436
877	1252769	174075
878	1254226	172652
879	1255773	171241
880	1257651	169875
881	1259250	168471
882	1260836	167064
883	1262665	165689
884	1263990	164247
885	1265347	162809
886	1267380	161458
887	1269169	160075
888	1270568	158642
889	1271991	157212
890	1273406	155781
891	1275509	154433
892	1277037	153015
893	1278307	151566
894	1279942	150160
895	1283285	148952
896	1285351	147593
897	1286900	146173
898	1288371	144744
899	1289642	143293
900	1290919	141843
901	1292120	140385
902	1293287	138924
903	1294502	137469
904	1295663	136008
905	1297001	134567
906	1298481	133140
907	1299840	131701
908	1301200	130263
909	1305349	129100
910	1308483	127832
911	1310817	126482
912	1312548	125073
913	1314610	123694
914	1316309	122280
915	1318124	120876
916	1320708	119540
917	1323713	118240
918	1326238	116893
919	1328580	115528
920	1330323	114110
921	1332347	112714
922	1334030	111289
923	1336321	109913
924	1337651	108458
925	1338926	106998
926	1340223	105540
927	1341349	104070
928	1342584	102608
929	1344282	101182
930	1346335	99782
931	1349459	98458
932	1350844	97005
933	1351979	95536
934	1353213	94073
935	1354242	92597
936	1355541	91141
937	1356618	89669
938	1357871	88211
939	1359032	86746
940	1360222	85284
941	1361646	83838
942	1363081	82391
943	1364395	80938
944	1365610	79479
945	1366840	78022
946	1368113	76568
947	1369311	75109
948	1370423	73647
949	1371808	72200
950	1374166	70803
951	1375907	69373
952	1378246	67972
953	1381260	66601
954	1384085	65218
955	1385850	63783
956	1387576	62346
957	1388996	60895
958	1390436	59445
959	1391996	57999
960	1393424	56548
961	1394846	55097
962	1396155	53642
963	1397360	52183
964	1398601	50726
965	1399950	49273
966	1401245	47819
967	1402909	46377
968	1404516	44932
969	1406012	43484
970	1408052	42053
971	1410131	40621
972	1422599	39476
973	1426606	38081
974	1428108	36618
975	1429540	35152
976	1430939	33686
977	1432528	32224
978	1433864	30757
979	1435396	29293
980	1437050	27832
981	1438457	26366
982	1439754	24899
983	1441065	23431
984	1442400	21965
985	1443512	20496
986	1444949	19031
987	1446713	17571
988	1448010	16105
989	1449409	14640
990	1450978	13177
991	1452713	11715
992	1454121	10250
993	1455923	8788
994	1457397	7323
995	1459876	5862
996	1462577	4400
997	1464759	2935
998	1467320	1468
999	1469897	0
